Smiles,PIC50
CC(=O)N[C@H]1CC(C2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O)C=O,5.550000452
COC1=CC=C(C=C1)N2C=CC(=C2)C(=O)C3=CC(=C(C(=C3)OC)OC)OC,6.602059991
CC(C)C[C@@H](C(=O)C(=O)NC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)OCC3=CC=CC=C3,6.636764196
COC1=CC(=CC(=C1OC)OC)C2CN=C(O2)C3=CC4=CC=CC=C4N3,6.455931956
COC1=C(C=C(C(=C1)O)C(=O)NC2=CC=CC(=C2)C#C)NC(=O)CCCCCC(=O)NO,6
CC1=C(OC2=C1C=CC(=C2)OC)C(=O)C3=CC(=C(C(=C3)OC)OC)OC,7.721246399
CC(C)(C)NC(=O)NC1=C(C=C2C=NC(=NC2=N1)NCCCN3CCOCC3)C4=C(C=CC=C4Cl)Cl,7.142667504
CC(C)N1CCN(CC1)CCC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7,7.431798276
COC1=CC2=NC(=C(N2C=C1)CC(=O)NC3=CC4=C(C=C3)C=CS4(=O)=O)C5=CC=CC=C5,5.920818754
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,6.602059991
CN1C=CN=C1[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,8.795880017
CCN(CC)/C=C/1\C2=C(C(=O)C3=C([C@]2([C@H](OC1=O)COC)C)[C@@H](C[C@]4([C@H]3CC[C@@H]4O)C)OC(=O)C)O,6.417936637
CN1CCN(CC1)C2=CC3=C(C=C(C=C3NCC4=CC(=CC=C4)[N+](=O)[O-])C(F)(F)F)N=C2,9.031517051
C1=CC=C2C(=C1)C=CC=C2C3=CC(=O)C4=C(N3)N=CC=C4,5.958607315
COC1=CC=CC(=C1)N2CCN(CC2)C3=NC4=C(CSCC4)C(=O)N3,8.318758763
CCOCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)NCCS(=O)(=O)C)Cl)NC(=O)/C=C/CN(C)C,7.183096161
C1C[C@H](N(C1)S(=O)(=O)C2=CC(=CC(=C2)F)F)C(=O)N[C@@H](CNC(=O)NCC3=CC=CC=C3)C(=O)O,7.455931956
C1CNCCC1C(=O)NCCCN2C(=O)C3=C(C=CC(=C3)F)N4C2=NNC4=S,4.356448631
CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN(C)CCCCCCCCNC5=CC=CC6=C5C(=O)N(C6=O)[C@@H]7CCC(=O)NC7=O)CSC8=CC=CC=C8)S(=O)(=O)C(F)(F)F)C9=CC=C(C=C9)Cl)C,5.698970004
COC1=CC=C(C=C1)C(=O)/C=C/C2=C3CC4=C(C3=NN2)C=C(C=C4)OC,5.2069084
CCCCCCCCCC(=O)OC1=C(C=CC(=C1)N(C)C2=CC(=O)OC3=CC=CC=C32)OC,6.64244628
C1C=C(C(=O)N1CCCC2=CC=C(C=C2)Cl)CCC(=O)NO,6.37675071
CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC(=C(C(=C3)OC)OC)OC,8
CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CN=CC4=C3C(=NN4)N,9
CC1=NC=C(C=C1)C2=CC=C(C=C2)CNC3=NC(=NC=C3C)C4=CC=CC=C4C(C)C,7.301029996
CC(C)N1CC2=CN=C(N=C2N(C1=O)C3=CC=CC(=C3)NC(=O)C=C)NC4=C(C=C(C=C4)N5CCN(CC5)C)OC,8.397940009
CC1=C2C(=CC=C1)N=C3C(=N2)C=CC=C3C(=O)NCCCN(C)CCCNC(=O)C4=CC=CC5=NC6=C(C=CC=C6N=C54)C,6.233587153
CC1=C(C=C(C=C1)F)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NC=NN5,8.096910013
CCC(=O)N1CC[C@H](C1)N2C3=NC(=NC=C3CN(C2=O)C4=CC=CC=C4Cl)NC5=CC(=C(C=C5)N6CCN(CC6)C)C,7.679853714
CCCCC/C(=N\S(=O)(=O)CC1=CC=C(C=C1)F)/NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)F,7.696372024
CCC(C1=NC2=C(C(=O)N1CC3=CC=CC=C3)SN=C2C)N(CCCN)C(=O)C4=CC=C(C=C4)C,8.301029996
C1CCC2=C(C1)C3=C(N2)N=CN=C3NC4=CC(=CC=C4)O,6.37675071
C1CCN(C1)CCOC2=CC(=C(C=C2)NC3=C4C=CN=CC4=C5C=CC=C(C5=N3)C6=NC=NN6)F,7.920818754
CC1=C(C=C(C=C1)C(F)(F)F)COC2=C(C=CC(=C2)NC(=O)C3=CC=C(C=C3)Br)N(C)S(=O)(=O)C,5.022733788
CC1=CC2=C(C=C1)N3C(=S)NN=C3N(C2=O)CCC4=CC=CC=C4,4.947306058
COC1=CC=C(C=C1)C(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,5.346787486
C1C=C(C(=O)N1CCC2=CC(=CC=C2)Br)CCC(=O)NO,6.37675071
COCC/C(=N\S(=O)(=O)CC1=CC=C(C=C1)Cl)/NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCOCC5)OC)F,8.539102157
C1CC(OC1)CNCCC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7,8.15490196
CC1=C(C=CC(=C1)NC2=NC=C3CN(C(=O)N(C3=N2)[C@H]4CCN(C4)C(=O)CO)C5=CC=CC=C5Cl)N6CCN(CC6)C,7.698970004
C1=CC2=C3C(=C1)NC(C(C3=NNC2=O)C4=CN=CC=C4)C5=CN=CC=C5,7.752026734
COC1=C2C=C(C=N1)C3=NC4=C(C=NN4C=C3)C5=CN(CCNC(=O)C6=CC(=CC=C6)S(=O)(=O)N2)N=C5,8.113509275
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC4=C(C=C3)C(=CC=C4)C(=O)NC5=CC(=CC(=C5)Cl)Cl,9.519993057
C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,7.26760624
C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CNC4=CC=C(C=C4)F,8.096910013
CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C(C(=C3)OCC4=CC(=CC=C4)C#N)CN[C@@H]([C@H](C)O)C(=O)O)Cl,7.850780887
C1CCC2=C(C1)C(=O)NC(=N2)N3CCC4(CC3)C5=CC=CC=C5CO4,7.447331784
CC1=CC=CC=C1N2N=C(C(=N2)N3CCN(CC3)C(=O)C)C(=O)C4=CC(=C(C(=C4)OC)OC)OC,5.623423043
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC=C2)N3C=CN=C3)C#CC4=CN5C(=CC=N5)N=C4,7.720561212
C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CC(=C3)Br)N4C2=NNC4=S,4.831502516
CC1=C(SC(=N1)C2=C3CCCCN3C4=C2N=CN=C4N5CCN(CC5)CCC6=CC=CC=C6)C,6.273272791
CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C(C(=C3)OCC4=CC(=CC=C4)C#N)CNCC(=O)O)Cl,8
C1CCC(C1)SC2=NN=C(N2C3=CN=CC=C3)COC4=CC=CC(=C4)C#N,5.504594437
C1CC(CCC1C(=O)NCCCN2C(=O)C3=C(C=CC(=C3)F)N4C2=NNC4=S)N,5.401209493
C1=CC(=CC=C1CN2C(=CN=N2)C3=CC=C(C=C3)NC(=O)CCCCCCC(=O)NO)F,7.241088108
C1=CC(=CC=C1CN2C=CN=C2)C(=O)NCCCN3C(=O)C4=C(C=CC(=C4)F)N5C3=NNC5=S,5.829738285
CC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)OC)C#CC3=CN4C(=CC=N4)N=C3,7.650528201
CNC1=NC=C2CN(C(=O)N(C2=N1)CCCNC(=O)/C=C/CN(C)C)C3=C(C(=CC(=C3Cl)OC)OC)Cl,8.752026734
